"subj","alpha_mean","alpha_sd","beta_mean","beta_sd","gamma_mean","gamma_sd","log_delta_mean","log_delta_sd","delta_mean","delta_sd","waic"
88,1.43311630420005,1.98600262535705,1.66166329511215,0.127985236019187,1.7264974025584,1.40003382831583,-0.187133770777497,1.20383090727599,1.8611069370805,2.42657338059934,NA
89,2.11056834162538,1.50186580302484,-0.693182937196471,0.956828713216305,2.36825209527251,2.56036203895265,-1.13858800252255,0.486611168272291,0.352723960507623,0.12498325213871,NA
90,0.497474481149796,0.230493111520711,-0.119071280517087,1.01965404997229,0.454605015094036,0.277783827293452,0.361979808925315,1.57197687645477,3.39042891690395,2.9923328815971,NA
91,2.08881559828732,1.94508035143559,0.578842073149289,0.70795940932757,1.60591624365143,0.756444598361702,-1.25446488829223,0.462884587492436,0.314315795616741,0.12757918086133,NA
92,0.455544798617096,0.445021179882769,0.742958163125074,0.593132063959972,2.84661015251077,2.33932878365671,-0.938006726540563,1.16878583627631,0.868876363068238,1.14433272768537,NA
93,0.85903529606141,1.14388261460729,-0.140667456004548,1.1509634392712,3.19132129132517,1.42341749453576,0.843676699816682,0.0955486663544001,2.33530840776534,0.2161147210542,NA
94,1.29866687853901,1.77060230564262,1.56533157482647,0.174872667943088,1.19267654467008,1.19289675876303,-0.237374299410547,1.00198238049315,1.20654595387582,1.00509189826528,NA
95,1.38625553514573,1.82951784467408,-0.463118616806036,1.09632399445895,1.13871329001716,0.969812924403838,0.0610453305336339,0.807989357772895,1.48104927914526,1.2082837662096,NA
96,0.748873782769932,0.474437433969773,0.180102875187259,1.49162198786755,0.382242273361912,0.182977358442988,0.116174817182179,1.02679222696116,1.77667315468477,1.48572226700624,NA
97,1.37626409827096,0.465426969762847,1.11297084091468,0.572622989360519,1.88997454423464,1.77140266168993,0.169287209692283,0.975960284880323,1.79217876216222,1.46547882467079,NA
98,1.03069879050272,1.53985560366185,0.134081910803282,1.25054744863759,0.669726137486189,0.205970294866524,-0.0754642948574717,0.640419644916333,1.12203025884796,0.63033319153396,NA
