"subj","waic","n_trials","logit_alpha_mean","logit_alpha_sd","log_beta_mean","log_beta_sd","log_gamma_mean","log_gamma_sd","tau_mean","tau_sd","alpha_mean","alpha_sd","beta_mean","beta_sd","gamma_mean","gamma_sd"
69,26.4745343725154,19,-2.37017686940167,10.176210957491,-4.78344541362677,8.06684667080115,-0.636104646976538,10.2206598100669,-0.947136583808346,10.1555917280168,0.389239147380474,0.450464092257981,2895479.6106824,194828552.334933,6209077932696.04,389715733414672
70,23.681778179139,17,-3.02734927997048,10.3072792444305,-5.72445568551224,7.95538224324312,-0.518725941989288,9.91529728435583,-0.71436589757969,10.2416690925541,0.367027156795449,0.447604788110921,342539.042733187,10933685.6897276,36949916467544.5,4012196904636949
71,16.1472891052902,20,0.526145093335193,8.37510458502048,3.89431966902199,5.288727125713,0.606831175199385,9.8914277680884,1.16538846690701,9.37565378630801,0.464386312162584,0.445840599409022,540748327.10625,25606948952.2241,675866174876.209,35817116797034.9
72,25.0188127025815,20,-1.20601519298828,8.9185452050264,1.3596658508126,7.47847967792558,0.530100917197957,9.95727040187212,0.5655734510608,9.74658653989241,0.40326702237996,0.443888439061666,380257254.487747,34784376028.5772,32700716141384.6,3469953443024738
73,20.0232503311933,20,0.40312201297782,8.56669361198464,3.14865018386842,5.76367782272322,0.544832011856464,10.1896742187031,1.18126558752881,9.4423040258718,0.46298512837578,0.446985931269425,1142715120.03826,115336244165.912,7371317873531.23,396865260878548
74,26.5357674538431,20,1.22992133381168,9.87479036296595,-1.78580273981506,7.13193680478169,0.10447422321419,9.93803177938724,0.154354826512378,9.97034885877581,0.568404118471272,0.454361021153474,14181090.131868,1103669358.01997,283642734525.545,17798045812562.7
75,25.0630427049807,18,-2.77657938426397,10.0386202981342,-5.11648731791838,8.12719844250591,-0.710161438818981,10.20607327726,-1.06269652988566,10.2836879719177,0.36997278108563,0.444690843532887,4073486.21380217,151672672.585252,1401753751991.45,112603829314572
76,25.0737809251527,18,-2.97279840263822,10.1847234269831,-5.60371762387485,7.9834700292987,-0.832881274773232,9.91842514046739,-1.0128975970672,10.3033362436452,0.37026641125836,0.44669102414805,2845974.30436418,157207233.93469,412556679254.967,27360345156210.2
77,25.0726311529618,18,-2.91256873789228,10.3845013327703,-5.70574797299763,8.01338584997188,-0.710787285148282,10.0273856183619,-0.983619121416888,10.1804037504904,0.372027302252295,0.447364435666127,2988206.05598942,130530201.843169,2815921915099.9,163409093451756
78,27.8404750627552,20,-3.03177657981797,10.1782778684905,-5.8405934445818,8.06644902486387,-0.787886713475696,10.0056918881289,-0.722363382627804,10.2629591191329,0.363643805087779,0.444039107835097,18473486.7399175,1756250291.51006,1315225728355.12,140014762894324
79,27.6999227289996,20,-2.64259723530688,9.94187899169319,-3.87344262925965,8.26314925116374,-0.583640904021452,10.0067948015654,-0.504700353744482,10.3298098950404,0.364909953207111,0.442614668926427,2012734.50331799,154064063.523067,2259303289625.08,185948474033389
80,22.0849796128617,17,0.914835826889542,9.09429525182656,0.618553391890601,6.90099385168916,0.407751019088886,9.84853558758736,0.44542828436515,9.66629900158112,0.529702491171834,0.452171597341923,36725931.9235202,1208648436.42621,283078801620.32,19970200460361.8
81,27.8280588302899,20,-2.76605921583667,10.4064726676222,-5.28032697579286,8.1591457791758,-0.614968665987391,10.0607198830369,-0.843010406386123,10.3134235822452,0.374376961740372,0.447579849342358,62295163.7937256,3939299613.83436,6864251929678.25,692212964794065
82,26.0171453447713,19,-1.46613174588218,9.79809931488444,-2.56012226112708,8.36743030999491,-0.459305061250781,9.97098850833426,-0.443224417510162,9.97635422816897,0.416814408558122,0.451766637864201,151368922.599864,10109543860.6647,264714465815.474,13024575202608.2
83,26.4583660067179,19,-2.8809995854752,10.3601486047375,-5.58237976508897,7.99505724075032,-0.621498327476487,9.90513491952902,-0.950445255396253,10.2642650226349,0.376819440068954,0.450067057638108,3360799.32813564,135916725.888499,217545978552.069,11879656275679.3
84,27.8408767394988,20,-2.62851594359415,9.88433494124237,-4.65482848830477,8.2221984041627,-0.414667078296486,10.0542801029293,-0.692790616340446,9.98061756073819,0.374274444675163,0.445440499002114,40325376935.4311,2986719950605.86,4118284887564.9,396975746554027
85,26.5679734030423,19,-2.0137176461063,9.70298905889085,-3.01970609830851,8.40332464097222,-0.416388019343431,10.1176276968893,-0.551113056753747,10.0883044086804,0.391709242452778,0.44855610034214,22025479345.3447,1596169860888.73,1168612441600.91,118608720826727
86,27.8346048958995,20,-3.17694718519226,10.0000890140524,-5.78191226006979,8.04241676322039,-0.80047950282596,10.0318338724988,-1.06847074072358,10.1904459126165,0.355763019231737,0.442604714991777,12606440.996425,1072258243.05188,3267151597125.6,221290968979847
87,27.8434067299431,20,-2.97361464577668,10.1974660419629,-5.78526480043342,8.04089552935796,-0.851491543219742,9.92696010186398,-0.962867452385836,10.2117774626341,0.368993423965047,0.445866720735972,3539168.30064136,176169934.068625,13598260048273.6,1360327696212567
88,23.6796000007788,17,-2.72484952125918,10.2364241239086,-5.45138293125646,8.12116930260886,-0.877961960802781,9.96478507559575,-0.885752384930843,10.1215849715423,0.381688257391112,0.44970173203942,3200453.61048969,159516578.351886,1281293910624.73,130359807793297
89,26.4507927076307,19,-3.06261654440471,10.2603667028531,-5.61562953463731,8.06328281056262,-1.03560617293154,10.1097239747205,-1.11373628454675,10.3667197214464,0.360081938558074,0.444339313767376,13852574.9234154,960452691.016991,1751709649531.99,121507205857335
90,23.6877925393098,17,-2.48997578143615,10.1737741179648,-5.10817566265738,7.9400438706242,-0.813691156479303,10.1353786162295,-0.685782629441076,10.2627206484714,0.381891377478887,0.449591093095934,16528863.9856817,989638088.573203,1950191686418.13,176826555897333
91,19.6676725400588,20,0.11596508072742,8.4465344005477,3.48027948329174,5.73478380722121,0.877433542579268,9.75684206883251,1.15017125456545,9.42363963523621,0.451236720864521,0.447969337767497,71107615979.5414,7755418980303.01,6768914846887.42,327281004797355
92,26.1553847398703,19,-1.39422025564233,9.98890470840209,-2.91343680924456,8.19381670459708,-0.227128844903171,9.72694968997214,-0.273500076065443,9.95287078407317,0.427532879854654,0.45290224918124,14435502.2360054,556276684.42661,61707189813.1961,2592153129747.21
93,28.0012968394424,20,-2.23489784615098,9.75912366232709,-2.40815958809647,8.58201530596656,-0.147925000865003,9.85191462313998,0.0144341878749145,9.88753468217547,0.375077986398742,0.443963902012955,178136762.971505,8926731411.46698,197093697077.687,12908868623009.8
94,26.4578327054145,19,-2.73801095969162,10.4054008360027,-4.73328565563911,8.13668356506954,-0.676544161392026,9.95560736016758,-0.950337297947862,10.4154225955172,0.376619735345107,0.447359994079467,4769102.77282273,199214624.954036,45703607631.6869,2403345645696.38
