"subj","alpha_mean","beta_mean","gamma_mean","tau_mean","logit_alpha_mean","log_beta_mean","log_gamma_mean"
90,0.381891377478887,16528863.9856817,1950191686418.13,-0.685782629441076,-2.48997578143615,-5.10817566265738,-0.813691156479303
91,0.451236720864521,71107615979.5414,6768914846887.42,1.15017125456545,0.11596508072742,3.48027948329174,0.877433542579268
92,0.427532879854654,14435502.2360054,61707189813.1961,-0.273500076065443,-1.39422025564233,-2.91343680924456,-0.227128844903171
93,0.375077986398742,178136762.971505,197093697077.687,0.0144341878749145,-2.23489784615098,-2.40815958809647,-0.147925000865003
94,0.376619735345107,4769102.77282273,45703607631.6869,-0.950337297947862,-2.73801095969162,-4.73328565563911,-0.676544161392026
95,0.371477824829072,1737168.68085266,365653083395.544,-0.881376548072926,-2.80061298798119,-5.3318283842702,-0.73850611997643
96,0.379716982136281,1102424046.71887,3005937205232.93,0.671195327546838,-1.40465819681244,1.27481640407353,0.557464799015425
97,0.361263371369088,1428396.39527418,845606555224.09,-1.03671299792423,-3.12219764509028,-5.59367335652333,-0.868583027355189
98,0.502353715593734,58824416.4222596,693543220784279,0.199188142208878,0.217968949511459,-0.93156371592453,0.00878965933081863
99,0.372294363092277,38519021.8525241,1184637567947.2,-1.10466570891504,-2.95788491121306,-5.5105912814393,-0.648816854417823
100,0.388040542186486,103206919.5495,12265795540261,-0.225567066644504,-1.9881101560377,-2.9719432811899,-0.395084733721023
101,0.39833393645115,47272858.9353843,388483025204752,0.806233755772614,-0.902144974057609,2.46249855038828,0.511795851022812
102,0.4532928571525,3747901.69743157,185072196124.29,-0.384764451885001,-1.08558326395033,-3.58477093292802,-0.218978511866359
103,0.438646938867373,385159490.323047,4232044862887.38,0.774474128734644,0.0308951960050592,4.0150230932195,1.07239803395772
104,0.417867378433514,41942027.1747422,991096132884.296,-0.6461447656592,-1.82690191376869,-4.49246273169364,-0.548471405798076
105,0.372463724703529,5799793469.31516,929862846385.586,-1.05002301482739,-2.90348918286674,-5.49397568269761,-0.688401351426185
106,0.360407377397776,68008876.9325031,63664530506865.9,-1.25056993603262,-3.16835129213795,-5.43634290746036,-0.825436282333437
107,0.44432398285407,344753042.105191,14837996682851.6,0.581048778227538,-0.175645363738911,2.14269072256826,0.447283471995918
108,0.395905451886713,268455449.272483,620356858124.71,-0.361677516161428,-1.88261703348303,-2.933070111926,-0.238309651925976
109,0.374685846377356,56693260.3660989,28190778186600.9,-1.0752740521306,-2.76593769640464,-5.3863842403426,-0.809643328461464
110,0.380366796790083,282115426.367691,3072859952652.08,0.416834806649615,-1.65711711071723,0.752303921711658,0.47701246146407
111,0.407910243090165,12241143.7695216,1321451846356.67,-0.590338059548893,-1.8735023266309,-4.00555964766998,-0.521649287317127
112,0.362253740615213,13920662.2463867,293343274149.065,-1.1852401568594,-3.09831096246929,-5.72663683138561,-0.723070894512139
113,0.398684554093308,85852155.874826,74151836995956,-0.849118983782461,-2.17226378388949,-4.68818527647587,-0.45499864560468
114,0.344775575706377,1002474448.98499,1226892352829.98,0.0321165916942036,-2.45244807589854,-0.745525779200498,0.0431847183231674
115,0.359541991180014,32834270.057671,695364175152.291,-1.1430715546395,-3.08628157853001,-5.97460178641038,-0.615512506455399
116,0.36388574795931,1297142.8734332,41841258986.7483,-0.915005473348922,-3.06561104053558,-5.70410653696881,-0.545415241632804
117,0.349989863835802,779057216.509868,62500094973051.1,0.56273960008119,-1.91573430831789,1.81462227261942,0.631470915219869
118,0.328698662383037,241888781.030055,275071070333373632,1.34704597723459,-1.76784840304846,4.72830240050112,0.667064965017288
119,0.355369381329285,1185765.34931948,165775491394.145,-0.887142549189618,-3.23271786543841,-5.67002339545492,-0.73141937553694
120,0.37726045994969,158773909.79179,68361101907610.5,-0.682411118558476,-2.6591462592053,-4.7907598949332,-0.759048732011006
121,0.433587195238995,19646556.8065295,1415740631270.03,-0.58707058593675,-1.34154024863994,-3.67542610129763,-0.567585886776658
122,0.361462566089319,9945273.17787589,633360043979.691,-0.76581224924503,-3.03406094471159,-5.49317307334078,-0.83784799047418
123,0.553956819258653,46110011.6635991,26242213172265.7,0.670632229153953,1.5696587222767,0.900124007228053,0.589858438697188
124,0.38371408083811,3832872.896716,71395992492464.2,-0.803409953989679,-2.54936122755075,-4.68088510805032,-0.700471684255577
125,0.337210319857477,4440427617.92375,4194959191659.2,0.46788121652041,-2.22992897092419,1.24409570130241,0.422832266963376
126,0.372160700023903,27717732026.308,535444792051.632,-0.937416922343668,-2.79823063166616,-5.4534536213566,-0.898364553437709
127,0.370242779307184,21241885.0823144,640933309141.467,-0.730255076622785,-2.65473220720538,-3.85786769826581,-0.588585928940102
128,0.384540555480555,3735020.27726698,495098480728619,-0.246687666198566,-1.98624543874033,-2.52859624320694,-0.214274041040542
129,0.377554623098879,1784996953.89641,4055767181549.91,-0.501097943089631,-2.18731440509164,-2.04177489271768,-0.00901774421433403
130,0.463148967033751,224838748.033359,346732968975.355,1.18804095899124,0.581826652169474,3.98482015904683,0.715118252759398
131,0.349476318484534,1804234.75153825,1802356075451.07,-0.833819450682483,-3.31030555567763,-5.79902160441589,-0.635398877285365
132,0.387232980682277,2702006.17368913,24841112958056.6,-1.14346959767046,-2.48867707499146,-5.20402188834342,-0.692220707953663
